"Español","Quechua (OPS/OMS Bolivia 2013)","Quechua corregido","Aymara"
"¿Te duele en el cuello?","¿Kunkaykiniq nanasunkichu?","",""
"¿Chispas de fuego ves?","¿Nina chispakunata rikhunkichu?","",""
"¿Chispas de fuego has visto?","¿Nina chispakunata rikhurqankichu?","",""
"¿Tienes fiebre?","¿Ukhuyki k’ajanchu?","",""
"¿Desde cuándo tienes fiebre?","¿Mayk’aqmantapacha ukhu k’ajayniyuq kachkanki?","",""
"¿A qué hora tienes fiebre?","¿Ima horata ukhuyki k’ajan?","",""
"¿Tienes escalofríos?","¿Chiri chirichu jap’isunki?","",""
"¿Sudas en la noche?","¿Tuta jump’inkichu?","",""
"Pérdida de Peso, Anorexia, Astenia,","Somnolencia","",""
"¿No tiene ganas de comer?","¿Manachu mikhuyta munanki?","",""
"¿Te sientes cansado?","¿Sayk’ullankichu?","",""
"¿Te siente como cansado y con sueño durante todo el día?","¿Sayk’usqa jinallachu, mana chayqa puñuyllachu tukuy p’unchaw atisunki?","",""
"¿Te ha dado vueltas la cabeza?","¿Umayki muyusunkichu?","",""
"¿Estás durmiendo bien?","¿Waliqllatachu puñuchkanki?","",""
"¿No has podido dormir?","¿Manachu puñuyta atinki?","",""
"¿Te despiertas en las noches?","¿Tutapi rikch’aykachankichu?","",""
"Muéstrame donde te está escociendo","Rikhuchiway maypi siqsichkasunki","",""
"¿Te pones de color morado?","¿Kulliyankichu?","",""
"¿Se pone de color morado?(En tercera persona)","¿Kulliyanchu?","",""
"¿Te pones de color amarillo?","¿Q’illuyankichu?","",""
"¿Se pone de color amarillo? (En tercera persona)","¿Q’illuyanchu?","",""
"¿Desde cuándo te pones amarillo?","¿Mayk’aqmantapacha q’illuyanki?","",""
"¿Desde cuándo se pone amarillo? (En tercera persona)","¿Mayk’aqmantapacha q’illuyan?","",""
"Antecedente de Lipotimia, Sincope,","Antecedente Convulsivo","",""
"¿Alguna vez has perdido la conciencia?","¿Jukllatapis yuyayniyki chinkasunkichu?","",""
"¿Cuándo has perdido la conciencia?","¿Mayk’aq yuyayniyki chinkasurqa?","",""
"¿Cuántas veces has perdido la conciencia?","¿Machkha kutita yuyayniykita chinkachinki?","",""
"¿En cuánto tiempo te has recuperado?","¿Machkha unaypi alliyapurqanki?","",""
"¿Te estabas cansando?","¿Sayk’uykuchkarqankichu?","",""
"¿Te has asustado?","¿Mancharikunkichu?","",""
"¿De por sí has perdido la conciencia?","(sin ningún motivo) ¿Qhasillamantachu yuyayniykita chinkachirqanki?","",""
"¿Alguna vez te ha dado ataque?","(referente a convulsiones) ¿Jukllatapis t’ukuwan jap’ichikuy yachankichu?","",""
"¿Cuándo te ha dado ataque?","¿Mayk’aq t’ukuwan jap’ichikurqanki?","",""
"¿Cuántas veces te ha dado ataque?","¿Machkha kutita t’ukuwan jap’ichikurqanki?","",""
"¿Estás Tosiendo?","¿Ch’ujuchkankichu?","",""
"¿Desde cuándo estas tosiendo?","¿Mayk’aqmantapacha ch’ujuchkanki?","",""
"¿Te duele el pecho al toser?","¿Ch’ujuqtiyki pichuykita nanasunkichu?","",""
"¿Estás escupiendo flemas cuando toses?","¿Ch’ujuspa llawsatachu thuqachkanki?","",""
"¿Estás escupiendo flemas?","¿Llawsatachu thuqachkanki?","",""
"¿Has escupido con sangre?","¿Llawarniyuqtachu thuqanki?","",""
"¿Qué cantidad de flema escupes al día?","¿Juk p’unchaw machkha llawsata thuqanki?","",""
